"","X2012.562.subsamp.30M","X2012.574.subsamp.30M","X2012.563.subsamp.30M","X2012.577.subsamp.30M","X2012.564.subsamp.30M","X2012.572.subsamp.30M","X2012.565.subsamp.30M","X2012.576.subsamp.30M","X2012.566.subsamp.30M","X2012.570.subsamp.30M","X2012.568.subsamp.30M","X2012.575.subsamp.30M","X2012.569.subsamp.30M","X2012.571.subsamp.30M"
"A1BG",31,16,47,13,37,27,40,38,24,15,13,30,33,32
"A1BG-AS1",225,162,212,166,253,177,227,217,195,165,174,191,175,179
"A1CF",0,0,0,1,0,0,0,0,0,0,0,0,0,0
"A2LD1",91,56,72,78,96,68,90,69,102,82,85,73,91,65
"A2M",4,3,10,3,2,3,0,3,9,5,4,3,7,2
"A2ML1",4,2,3,1,3,4,2,3,2,1,4,3,5,0
"A4GALT",14,37,39,33,32,50,24,95,20,63,9,89,24,71
"A4GNT",0,0,0,1,0,0,0,0,0,0,0,0,0,0
"AA06",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AAA1",1,0,0,2,1,3,0,1,1,2,0,2,1,0
"AAAS",1496,2271,1725,2163,1502,2124,2264,1808,1452,1600,2043,1871,1374,1779
"AACS",1729,1332,2010,1419,1850,1540,1819,1757,1702,1572,1434,1725,1715,1842
"AACSP1",6,13,12,14,11,6,10,9,7,10,9,18,10,18
"AADAC",2,1,0,0,1,0,2,0,0,1,0,1,0,0
"AADACL2",0,0,0,1,0,1,0,0,0,0,0,0,0,0
"AADACL3",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AADACL4",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AADAT",185,236,186,275,182,269,177,292,193,268,193,249,182,235
"AAGAB",2549,2690,2330,2688,2397,2884,2431,2331,2632,2738,2916,2592,2696,2498
"AAK1",1041,653,887,958,856,751,920,916,850,738,842,489,875,692
"AAMP",4244,3885,5167,3561,4714,4652,4939,4834,4606,4912,3924,5299,4783,5559
"AANAT",5,3,3,1,0,1,1,3,1,2,1,4,0,2
"AARS",10491,10666,9741,10651,10123,10469,10129,11088,10317,11053,9132,11128,9804,12150
"AARS2",464,408,529,435,432,441,460,582,427,504,346,580,376,572
"AARSD1",483,439,499,484,425,480,488,487,415,488,395,529,456,521
"AASDH",319,262,303,347,312,348,314,246,342,321,332,246,318,276
"AASDHPPT",692,747,653,804,703,832,679,715,741,776,988,650,836,623
"AASS",115,49,114,41,87,52,102,59,99,42,101,49,114,30
"AATF",1652,1870,1523,1763,1656,1806,1632,1690,1639,1845,1554,1878,1499,1990
"AATK",7,5,23,11,13,16,15,23,8,12,6,13,9,9
"ABAT",2803,3841,2895,4258,2641,4604,3097,4506,2909,4334,2734,3734,2716,4443
"ABCA1",665,170,434,263,444,263,542,205,526,168,474,118,426,201
"ABCA10",40,11,28,27,28,19,25,25,18,24,39,21,22,12
"ABCA11P",287,260,225,290,229,330,273,277,244,294,282,231,271,276
"ABCA12",491,599,443,1014,377,824,452,927,408,683,457,572,344,691
"ABCA13",1,3,0,1,3,0,0,2,1,2,3,1,5,0
"ABCA17P",37,27,66,44,40,37,45,52,38,39,29,36,33,54
"ABCA2",3728,1929,5326,2505,3894,2568,3313,5950,2928,2507,2358,3769,3388,3423
"ABCA3",1910,1307,2510,1359,1934,1639,1962,2545,1725,1671,1457,1843,1892,2013
"ABCA4",97,25,63,31,49,25,75,27,73,23,75,33,70,29
"ABCA5",921,698,766,1141,864,867,664,902,753,731,1021,727,802,632
"ABCA6",4,1,3,4,4,2,4,1,0,0,0,0,1,1
"ABCA7",190,60,233,123,151,84,134,239,118,99,84,172,139,105
"ABCA8",0,0,0,0,0,0,0,1,0,0,0,0,0,0
"ABCA9",0,1,2,0,0,1,1,0,0,0,1,0,1,1
"ABCB1",6,7,7,1,6,3,5,3,5,2,7,3,13,1
"ABCB10",469,642,429,669,470,685,501,529,487,617,547,564,505,553
"ABCB11",1,0,0,0,1,0,0,0,0,1,0,0,0,1
"ABCB4",67,16,72,26,55,40,62,24,64,21,52,18,65,18
"ABCB5",0,0,0,1,0,0,1,0,0,0,0,0,0,0
"ABCB6",2581,2299,2594,2202,2724,2277,2405,2536,2406,2346,2391,2365,2364,2732
"ABCB7",650,575,641,560,638,613,686,507,737,588,700,504,722,509
"ABCB8",363,249,628,258,403,341,344,655,319,366,258,556,391,486
"ABCB9",341,208,431,244,410,294,322,386,311,298,282,397,333,357
"ABCC1",2696,1900,2764,2414,2720,2270,2681,2878,2557,2260,2192,2116,2317,2550
"ABCC10",647,414,823,425,688,434,585,706,575,512,484,527,550,540
"ABCC11",7,1,12,13,10,11,12,10,4,15,9,15,3,6
"ABCC12",0,0,0,0,0,0,0,0,0,0,0,1,0,2
"ABCC13",56,143,64,191,31,194,68,177,49,144,63,178,59,115
"ABCC2",95,90,63,132,98,82,82,123,88,91,79,67,76,126
"ABCC3",17459,7689,18812,9318,16262,8839,15491,12474,14637,8252,12410,9386,13731,9867
"ABCC4",366,228,322,278,311,305,357,255,439,226,397,196,306,202
"ABCC5",3982,1793,3394,2662,3299,1968,3219,2497,2999,1981,3096,1767,2642,2261
"ABCC6",3,5,8,8,8,8,5,5,6,3,4,2,6,4
"ABCC6P1",1,0,0,0,2,3,2,1,2,0,0,1,1,0
"ABCC6P2",2976,2493,2496,3386,2573,2482,2498,3212,2330,2524,2440,3125,2163,2320
"ABCC8",80,35,122,64,65,45,54,86,68,51,42,71,61,64
"ABCC9",1,1,0,0,1,0,0,0,0,0,1,0,0,0
"ABCD1",556,267,955,251,702,398,589,578,544,394,445,551,615,531
"ABCD2",0,0,0,1,0,0,0,0,0,0,0,0,0,0
"ABCD3",1126,1419,1034,1560,1095,1572,1072,1271,1193,1516,1463,1248,1256,1243
"ABCD4",1029,654,1248,765,1050,765,1068,957,1069,745,912,888,1043,796
"ABCE1",1509,2761,1281,2959,1449,2964,1366,2536,1597,2802,1944,2450,1577,2357
"ABCF1",3594,3271,3465,3489,3338,3624,3763,3465,3609,3505,3146,3681,3307,3814
"ABCF2",2619,3301,2601,3150,2626,3361,2620,3438,2748,3472,2625,3296,2568,3520
"ABCF3",2015,1712,2518,1673,2210,1935,2197,2200,1932,1819,1916,2050,2090,2164
"ABCG1",4075,2203,4402,2126,4269,2430,4471,2361,4156,2304,3908,2115,4088,2285
"ABCG2",3655,2633,2905,2561,3721,2623,3293,2223,3806,2640,4248,2042,3780,2649
"ABCG4",5,3,3,2,1,3,3,5,1,3,0,3,3,2
"ABCG5",0,0,1,1,1,0,0,0,0,0,0,0,0,0
"ABCG8",1,0,1,0,0,0,0,1,2,0,0,0,1,1
"ABHD1",42,45,57,52,40,40,48,56,62,52,45,50,52,59
